iter	Passed	Remaining
0	9	4548
1	18	4582
2	27	4609
3	35	4439
4	43	4307
5	51	4239
6	60	4239
7	68	4241
8	77	4237
9	85	4189
10	93	4136
11	101	4114
12	111	4170
13	119	4160
14	130	4215
15	140	4246
16	149	4243
17	157	4210
18	164	4169
19	171	4119
20	180	4110
21	188	4087
22	195	4063
23	203	4042
24	211	4023
25	220	4016
26	229	4015
27	237	4009
28	245	3993
29	253	3971
30	261	3952
31	268	3924
32	276	3908
33	282	3871
34	290	3864
35	299	3855
36	307	3844
37	314	3827
38	322	3811
39	330	3796
40	337	3778
41	344	3761
42	353	3759
43	362	3755
44	369	3736
45	378	3735
46	386	3728
47	395	3723
48	402	3707
49	409	3687
50	416	3669
51	424	3658
52	433	3658
53	443	3660
54	451	3649
55	459	3640
56	465	3620
57	472	3600
58	479	3580
59	485	3560
60	493	3552
61	500	3538
62	508	3527
63	515	3509
64	521	3492
65	529	3484
66	536	3470
67	543	3451
68	549	3431
69	556	3416
70	561	3395
71	568	3380
72	576	3370
73	582	3355
74	589	3338
75	595	3321
76	602	3309
77	610	3303
78	618	3294
79	624	3280
80	631	3265
81	639	3257
82	646	3246
83	652	3232
84	659	3221
85	666	3206
86	672	3192
87	679	3181
88	685	3166
89	692	3153
90	698	3140
91	705	3129
92	712	3119
93	719	3106
94	726	3095
95	732	3082
96	739	3070
97	745	3058
98	752	3046
99	757	3031
100	763	3017
101	770	3006
102	776	2993
103	782	2979
104	788	2966
105	795	2956
106	802	2946
107	807	2932
108	814	2921
109	820	2909
110	826	2897
111	832	2884
112	839	2873
113	845	2861
114	851	2851
115	858	2840
116	864	2829
117	871	2820
118	877	2809
119	883	2798
120	889	2784
121	895	2774
122	901	2763
123	908	2755
124	915	2745
125	921	2735
126	929	2728
127	936	2720
128	941	2708
129	948	2699
130	954	2688
131	960	2676
132	965	2664
133	972	2656
134	981	2653
135	989	2647
136	995	2638
137	1003	2631
138	1009	2623
139	1016	2613
140	1022	2604
141	1030	2597
142	1036	2588
143	1043	2579
144	1050	2570
145	1056	2562
146	1062	2550
147	1069	2544
148	1076	2535
149	1082	2525
150	1088	2516
151	1095	2509
152	1102	2500
153	1108	2491
154	1114	2481
155	1120	2471
156	1127	2462
157	1133	2453
158	1140	2446
159	1146	2435
160	1152	2427
161	1159	2418
162	1165	2410
163	1171	2400
164	1177	2391
165	1184	2382
166	1190	2374
167	1197	2365
168	1203	2356
169	1209	2347
170	1215	2338
171	1221	2329
172	1227	2321
173	1234	2313
174	1240	2304
175	1246	2294
176	1252	2286
177	1259	2277
178	1264	2268
179	1270	2259
180	1276	2250
181	1282	2240
182	1289	2233
183	1295	2224
184	1301	2216
185	1308	2208
186	1314	2200
187	1320	2191
188	1326	2182
189	1332	2174
190	1339	2166
191	1345	2158
192	1353	2152
193	1359	2144
194	1365	2136
195	1372	2128
196	1379	2121
197	1385	2113
198	1391	2105
199	1398	2097
200	1404	2088
201	1411	2082
202	1419	2076
203	1425	2068
204	1432	2061
205	1439	2054
206	1445	2046
207	1453	2040
208	1460	2034
209	1468	2027
210	1474	2019
211	1481	2012
212	1487	2004
213	1494	1996
214	1499	1988
215	1506	1980
216	1513	1973
217	1519	1965
218	1524	1956
219	1531	1949
220	1537	1941
221	1544	1933
222	1550	1926
223	1557	1918
224	1563	1911
225	1569	1903
226	1575	1894
227	1581	1887
228	1587	1878
229	1592	1869
230	1599	1862
231	1604	1853
232	1611	1846
233	1617	1838
234	1624	1832
235	1630	1824
236	1637	1816
237	1643	1809
238	1649	1801
239	1656	1794
240	1664	1788
241	1671	1781
242	1677	1773
243	1683	1766
244	1689	1758
245	1696	1752
246	1703	1744
247	1709	1737
248	1715	1729
249	1721	1721
250	1728	1714
251	1734	1707
252	1741	1700
253	1748	1693
254	1754	1685
255	1761	1678
256	1769	1672
257	1777	1667
258	1784	1660
259	1791	1653
260	1797	1646
261	1803	1638
262	1809	1630
263	1815	1623
264	1822	1616
265	1828	1608
266	1834	1600
267	1839	1592
268	1845	1584
269	1851	1577
270	1858	1570
271	1864	1563
272	1869	1554
273	1876	1547
274	1883	1540
275	1889	1533
276	1895	1526
277	1901	1518
278	1908	1511
279	1914	1504
280	1920	1497
281	1926	1489
282	1933	1482
283	1939	1474
284	1947	1468
285	1953	1461
286	1959	1454
287	1965	1446
288	1972	1440
289	1978	1432
290	1986	1426
291	1994	1420
292	2000	1413
293	2006	1406
294	2013	1398
295	2020	1392
296	2025	1384
297	2032	1377
298	2038	1370
299	2045	1363
300	2051	1356
301	2056	1348
302	2063	1341
303	2068	1333
304	2075	1327
305	2082	1320
306	2089	1313
307	2097	1307
308	2104	1301
309	2111	1294
310	2118	1287
311	2126	1281
312	2133	1274
313	2141	1268
314	2148	1261
315	2154	1254
316	2160	1247
317	2168	1241
318	2174	1233
319	2180	1226
320	2188	1220
321	2194	1213
322	2201	1206
323	2208	1199
324	2214	1192
325	2220	1185
326	2227	1178
327	2235	1172
328	2242	1165
329	2250	1159
330	2256	1152
331	2262	1145
332	2269	1138
333	2276	1131
334	2282	1124
335	2289	1117
336	2297	1111
337	2303	1104
338	2310	1097
339	2317	1090
340	2322	1083
341	2329	1076
342	2335	1069
343	2343	1062
344	2350	1056
345	2356	1049
346	2363	1042
347	2372	1036
348	2378	1029
349	2386	1022
350	2394	1016
351	2401	1009
352	2409	1003
353	2415	996
354	2422	989
355	2428	982
356	2435	975
357	2442	968
358	2447	961
359	2454	954
360	2461	947
361	2468	941
362	2476	934
363	2482	927
364	2488	920
365	2495	913
366	2501	906
367	2508	899
368	2515	892
369	2522	886
370	2529	879
371	2536	872
372	2543	865
373	2549	858
374	2555	851
375	2563	845
376	2569	838
377	2576	831
378	2583	824
379	2591	818
380	2596	811
381	2603	804
382	2610	797
383	2616	790
384	2622	783
385	2628	776
386	2634	769
387	2640	762
388	2648	755
389	2654	748
390	2661	741
391	2666	734
392	2672	727
393	2680	721
394	2687	714
395	2694	707
396	2700	700
397	2707	693
398	2714	687
399	2720	680
400	2725	672
401	2731	665
402	2738	659
403	2744	652
404	2750	645
405	2757	638
406	2764	631
407	2770	624
408	2776	617
409	2785	611
410	2793	604
411	2800	598
412	2806	591
413	2812	584
414	2819	577
415	2825	570
416	2832	563
417	2838	556
418	2846	550
419	2853	543
420	2860	536
421	2867	530
422	2874	523
423	2880	516
424	2887	509
425	2894	502
426	2900	495
427	2907	489
428	2915	482
429	2923	475
430	2929	469
431	2936	462
432	2943	455
433	2949	448
434	2956	441
435	2963	434
436	2969	428
437	2976	421
438	2983	414
439	2990	407
440	2997	401
441	3003	394
442	3010	387
443	3017	380
444	3024	373
445	3030	366
446	3038	360
447	3046	353
448	3052	346
449	3059	339
450	3066	333
451	3073	326
452	3079	319
453	3086	312
454	3093	305
455	3101	299
456	3108	292
457	3114	285
458	3120	278
459	3127	271
460	3133	265
461	3140	258
462	3147	251
463	3154	244
464	3162	238
465	3168	231
466	3176	224
467	3184	217
468	3190	210
469	3197	204
470	3203	197
471	3209	190
472	3216	183
473	3223	176
474	3229	169
475	3235	163
476	3242	156
477	3248	149
478	3255	142
479	3262	135
480	3269	129
481	3277	122
482	3283	115
483	3288	108
484	3294	101
485	3301	95
486	3308	88
487	3315	81
488	3322	74
489	3329	67
490	3335	61
491	3342	54
492	3349	47
493	3356	40
494	3363	33
495	3370	27
496	3376	20
497	3383	13
498	3389	6
499	3395	0
